number,latitude,longitude,meters
3011,53.8399906709908,27.625235169689404,200.326
3021,53.84002548854483,27.625465839664685,200.093
3031,53.84020590631576,27.62556239918922,199.044
3041,53.840294532304476,27.62529954270576,198.578
3051,53.84017108891172,27.62504205064033,199.158
3061,53.84030086272505,27.624752372066723,197.978
3071,53.840455957730455,27.624934762279736,197.308
3081,53.840471783719146,27.62512251691078,197.527
3091,53.840459122928685,27.625396102230297,197.588
3101,53.84036100167291,27.625632136623608,198.170
3111,53.840256549760866,27.62581452683662,198.751
3121,53.84013943670112,27.625980823795544,199.203
3131,53.84002548854483,27.626141756336438,199.610
3141,53.83999383622417,27.626265137951123,199.654
3151,53.84020590631576,27.626426070492016,198.139
3161,53.84006030606994,27.62661918954109,198.918
3171,53.83986406145929,27.626603096287,200.122
3181,53.84037682769744,27.626758664409863,197.054
3191,53.84019008022662,27.626887410442578,198.161
3201,53.84052559203585,27.62654408768867,196.180
3211,53.840430636136155,27.62630268887733,197.047
3221,53.84027237582489,27.626243680279003,198.067
3231,53.84041164493042,27.626029103557812,197.557
3241,53.84057306990491,27.62578770474647,196.947
3251,53.840592061037476,27.62555703477119,196.831
3261,53.84067752102739,27.625224440853344,196.306
3271,53.84063004327675,27.624918669025647,196.274
3281,53.84058256547226,27.624784558574902,196.377
3291,53.84080096292712,27.624693363468396,194.759
3301,53.84091174380935,27.6248382027552,194.347
3311,53.84085160565251,27.62507423714851,195.208
3321,53.84010145401683,27.628786415079958,199.126
3331,53.84012994103329,27.628292888621218,198.883
3341,53.83999700145733,27.628679126719362,199.484
3351,53.84023755847612,27.62949451825989,199.127
3361,53.840414810131975,27.629875391940004,199.165
3371,53.84064903438348,27.63071760557068,198.893
3381,53.84091807413662,27.630572766283876,197.920
3391,53.84057623509428,27.630594223955995,198.943
3401,53.8405857306609,27.630347460726625,198.899
3411,53.84060788697468,27.62999877355469,198.793
3421,53.84060788697468,27.63021871469391,198.816
3431,53.84072499872421,27.629848569849855,198.217
3441,53.840740824611174,27.629682272890932,197.950
3451,53.84090541348112,27.629574984530336,197.218
3461,53.840981377356734,27.62970373056305,197.039
3471,53.84111114865872,27.629918307284242,196.598
3481,53.84130422229057,27.629891485194094,195.843
3491,53.841228259000665,27.629553526858217,196.063
3501,53.84124408469742,27.630390376070864,196.698
3511,53.841041515327184,27.630170434931642,197.152
3521,53.84095289091953,27.630368918398744,197.664
3531,53.840864266324296,27.63019725702179,197.865
3541,53.84091174380935,27.629896849612123,197.454
3551,53.840962386400754,27.629344314555055,196.897
3561,53.84074398978785,27.629183382014162,197.388
3571,53.840566739525485,27.62896344087494,197.563
3581,53.84046228812666,27.629102915743715,198.118
3591,53.84093389995063,27.628974169711,196.529
3601,53.841152295572954,27.628818601588137,195.670
3611,53.84113963498829,27.62850210092438,195.313
3621,53.840975047039,27.62843772790802,195.779
3631,53.840740824611174,27.628545016268617,196.478
3641,53.84071550318916,27.62826606653107,196.537
3651,53.84073765943427,27.62776181123627,196.361
3661,53.84086110115668,27.627895921687013,196.129
3671,53.840981377356734,27.627579421023256,195.616
3681,53.8409370651127,27.627354115466005,195.557
3691,53.840788302236206,27.627316564539797,195.800
3701,53.84055724395455,27.627407759646303,196.337
3711,53.840436966536195,27.62748822591675,197.074
3721,53.84034201043554,27.62725219152344,197.354
